file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim
OB_2473742_2019-10-10T03-22.fits,350.0313520833333,350.0313521431045,350.0313521431045,-60.06517888888889,-60.06517906890805,-60.06517906890805,TOI 134,CD-60  8051,CD-60  8051
OB_2480225_2019-11-21T00-46.fits,7.301262083333333,7.30126216402,7.30126216402,-30.45374055555556,-30.45374079362001,-30.453740793620007,TOI 178,WT 2353,WT 2353
OB_2485369_2020-01-01T05-54.fits,150.4184041666667,150.41840437028,150.41840437028,17.40905611111111,17.40905616129,17.40905616129,A100140,V* XY Leo,V* XY Leo
OB_2485372_2020-01-01T06-07.fits,159.5865379166666,159.58653821061,159.58653821061,14.26768416666667,14.26768423034,14.267684230339999,HIP  52066,V* UV Leo,V* UV Leo
OB_2485372_2020-01-01T06-15.fits,159.5865379166666,159.58653821061,159.58653821061,14.26768416666667,14.26768423034,14.267684230339999,HIP  52066,V* UV Leo,V* UV Leo
OB_2485379_2020-02-22T03-39.fits,179.1342225,179.13422284864,179.13422284864,7.297477777777778,7.297477926149999,7.297477926149999,A115632,HD 103694,HD 103694
OB_2485379_2020-02-22T03-53.fits,179.1342225,179.13422284864,179.13422284864,7.297477777777778,7.297477926149999,7.297477926149999,A115632,HD 103694,HD 103694
OB_2485392_2020-03-08T07-09.fits,191.0843274999999,191.08432759718,191.08432759717996,-8.671346111111111,-8.67134613876,-8.67134613876,A124420,BD-07  3477,BD-07  3477
OB_2485392_2020-03-08T07-30.fits,191.0843274999999,191.08432759718,191.08432759717996,-8.671346111111111,-8.67134613876,-8.67134613876,A124420,BD-07  3477,BD-07  3477
OB_2485403_2019-10-11T01-28.fits,283.8010879166667,283.8010881118,283.8010881118,-3.561986666666666,-3.561986903190001,-3.5619869031900007,A185512,HD 175375,HD 175375
OB_2485406_2019-10-21T00-28.fits,288.9480066666666,288.94800674826,288.94800674826,18.21171138888889,18.2117116355,18.2117116355,A191547,ASAS J191547+1812.7,ASAS J191547+1812.7
OB_2485417_2019-10-11T01-57.fits,297.05271875,297.0527190687,297.0527190687,9.308992777777778,9.30899304371,9.30899304371,A194813,V* OO Aql,V* OO Aql
OB_2485417_2019-10-11T02-11.fits,297.05271875,297.0527190687,297.0527190687,9.308992777777778,9.30899304371,9.30899304371,A194813,V* OO Aql,V* OO Aql
OB_2485424_2019-10-10T02-17.fits,305.457855,305.45785509767,305.45785509767,12.40755583333333,12.4075558868,12.4075558868,A202150,V* BY Del,V* BY Del
OB_2496641_2019-10-08T07-23.fits,58.37038499999999,58.37038530971,58.37038530971,11.40608194444444,11.40608199538,11.40608199538,V IK Tau,V* IK Tau,V* IK Tau
OB_2496644_2019-10-08T07-27.fits,58.37038499999999,58.37038530971,58.37038530971,11.40608194444444,11.40608199538,11.40608199538,V IK Tau,V* IK Tau,V* IK Tau
OB_2496654_2020-01-04T03-41.fits,58.37038499999999,58.37038530971,58.37038530971,11.40608194444444,11.40608199538,11.40608199538,V IK Tau,V* IK Tau,V* IK Tau
OB_2496657_2020-01-04T02-57.fits,58.37038499999999,58.37038530971,58.37038530971,11.40608194444444,11.40608199538,11.40608199538,V IK Tau,V* IK Tau,V* IK Tau
OB_2502219_2019-10-18T08-06.fits,88.68638125,88.68638140789,88.68638140789,13.85474,13.85474010149,13.85474010149,HD 39 680,HD  39680,HD  39680
OB_2502219_2019-10-18T08-17.fits,88.68638125,88.68638140789,88.68638140789,13.85474,13.85474010149,13.85474010149,HD 39 680,HD  39680,HD  39680
OB_2507371_2019-12-23T05-16.fits,92.23259416666666,92.23259421937,92.23259421937,15.70505333333333,15.70505336279,15.70505336279,HD 41 997,HD  41997,HD  41997
OB_2507371_2019-12-23T05-27.fits,92.23259416666666,92.23259421937,92.23259421937,15.70505333333333,15.70505336279,15.70505336279,HD 41 997,HD  41997,HD  41997
OB_2507428_2019-12-24T03-57.fits,92.41488666666666,92.41488682039,92.41488682039,20.487625,20.48762516655,20.48762516655,HD 42 088,HD  42088,HD  42088
OB_2507428_2019-12-24T04-07.fits,92.41488666666666,92.41488682039,92.41488682039,20.487625,20.48762516655,20.48762516655,HD 42 088,HD  42088,HD  42088
OB_2507468_2020-01-03T04-06.fits,96.15981083333332,96.15981103193002,96.15981103193002,19.70439055555556,19.70439064872,19.70439064872,HD 44 811,HD  44811,HD  44811
OB_2507468_2020-01-03T04-17.fits,96.15981083333332,96.15981103193002,96.15981103193002,19.70439055555556,19.70439064872,19.70439064872,HD 44 811,HD  44811,HD  44811
OB_2507594_2019-11-01T08-05.fits,96.25541874999999,96.25541896722,96.25541896722,19.84892222222222,19.84892247043,19.848922470429997,HDE 256 725 A,HD 256725,HD 256725
OB_2507672_2019-12-24T04-56.fits,96.25791124999999,96.25541896722,96.25541896722,19.8484675,19.84892247043,19.848922470429997,HDE 256 725 B,HD 256725,HD 256725
OB_2507672_2019-12-24T05-14.fits,96.25791124999999,96.25541896722,96.25541896722,19.8484675,19.84892247043,19.848922470429997,HDE 256 725 B,HD 256725,HD 256725
OB_2507707_2020-01-01T04-49.fits,96.81574333333333,96.81574336338,96.81574336338001,14.88922555555556,14.88922580935,14.88922580935,PZ Gem,HD  45314,HD  45314
OB_2507707_2020-01-01T04-57.fits,96.81574333333333,96.81574336338,96.81574336338001,14.88922555555556,14.88922580935,14.88922580935,PZ Gem,HD  45314,HD  45314
OB_2507782_2019-12-02T06-29.fits,97.83691999999999,97.83692014324,97.83692014324,4.834400555555555,4.83440070965,4.83440070965,HD 46 056,HD  46056,HD  46056
OB_2507782_2019-12-02T06-40.fits,97.83691999999999,97.83692014324,97.83692014324,4.834400555555555,4.83440070965,4.83440070965,HD 46 056,HD  46056,HD  46056
OB_2507817_2019-11-26T08-27.fits,185.3246916666666,185.32469189318,185.32469189317996,-52.84083333333334,-52.84083339064001,-52.84083339064001,WASP-87,CD-52  4998,CD-52  4998
OB_2507855_2019-12-17T05-57.fits,97.90998666666665,97.90998682629,97.90998682629,5.026776666666667,5.02677678411,5.02677678411,HD 46 106,HD  46106,HD  46106
OB_2507855_2019-12-17T06-11.fits,97.90998666666665,97.90998682629,97.90998682629,5.026776666666667,5.02677678411,5.02677678411,HD 46 106,HD  46106,HD  46106
OB_2507927_2019-12-23T05-47.fits,97.96888291666664,97.96888303804,97.96888303804,5.033105,5.03310518834,5.03310518834,HD 46 149,HD  46149,HD  46149
OB_2507927_2019-12-23T05-57.fits,97.96888291666664,97.96888303804,97.96888303804,5.033105,5.03310518834,5.03310518834,HD 46 149,HD  46149,HD  46149
OB_2507930_2019-12-20T08-08.fits,195.8279929166667,195.8279930813,195.8279930813,-49.63967583333334,-49.63967592357,-49.63967592357,TYC 8254-1624-1,WASP-108,WASP-108
OB_2507946_2019-10-17T08-56.fits,97.98039041666665,97.98133544656,97.98133544656,4.943133611111111,4.94286014336,4.94286014336,HD 46 150,HD  46150,HD  46150
OB_2507957_2019-12-31T04-32.fits,98.03877833333331,98.03877837650002,98.03877837650002,4.823529166666667,4.82352935988,4.82352935988,HD 46 223,HD  46223,HD  46223
OB_2507957_2019-12-31T04-42.fits,98.03877833333331,98.03877837650002,98.03877837650002,4.823529166666667,4.82352935988,4.82352935988,HD 46 223,HD  46223,HD  46223
OB_2507966_2020-01-02T04-16.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202
OB_2507966_2020-01-02T04-28.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202
OB_2507966_2020-01-03T04-40.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202
OB_2507966_2020-01-03T04-51.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202
