dp_id,obs_creator_did
ADP.2022-12-14T08:59:35.324,ivo://eso.org/origfile?OB_2437383_2019-05-26T00-37.fits
ADP.2022-12-14T08:59:35.325,ivo://eso.org/origfile?OB_2437383_2019-05-26T00-41.fits
ADP.2022-12-14T08:59:35.326,ivo://eso.org/origfile?OB_2437383_2019-05-26T00-42.fits
ADP.2022-12-14T08:59:35.327,ivo://eso.org/origfile?OB_2233860_2019-05-26T07-29.fits
ADP.2022-12-14T08:59:35.328,ivo://eso.org/origfile?OB_2249984_2019-05-26T05-20.fits
ADP.2022-12-14T08:59:35.329,ivo://eso.org/origfile?OB_2437396_2019-05-27T23-40.fits
ADP.2022-12-14T08:59:35.330,ivo://eso.org/origfile?OB_2437396_2019-05-28T00-31.fits
ADP.2022-12-14T08:59:35.331,ivo://eso.org/origfile?OB_2437399_2019-05-28T00-59.fits
ADP.2022-12-14T08:59:35.332,ivo://eso.org/origfile?OB_2437399_2019-05-28T01-01.fits
ADP.2022-12-14T08:59:35.333,ivo://eso.org/origfile?OB_2437399_2019-05-28T01-03.fits
ADP.2022-12-14T08:59:35.334,ivo://eso.org/origfile?OB_2250020_2019-05-31T06-07.fits
ADP.2022-12-14T08:59:35.335,ivo://eso.org/origfile?OB_2139467_2019-06-09T00-15.fits
ADP.2022-12-14T08:59:35.336,ivo://eso.org/origfile?OB_2233863_2019-06-14T06-28.fits
ADP.2022-12-14T08:59:35.337,ivo://eso.org/origfile?OB_2233866_2019-06-14T06-50.fits
ADP.2022-12-14T08:59:35.338,ivo://eso.org/origfile?OB_2233869_2019-06-14T07-13.fits
ADP.2022-12-14T08:59:35.339,ivo://eso.org/origfile?OB_2233875_2019-06-14T07-34.fits
ADP.2022-12-14T08:59:35.340,ivo://eso.org/origfile?OB_2233943_2019-06-14T09-45.fits
ADP.2022-12-14T08:59:35.341,ivo://eso.org/origfile?OB_2233952_2019-06-14T10-03.fits
ADP.2022-12-14T08:59:35.342,ivo://eso.org/origfile?OB_2285074_2019-06-14T08-24.fits
ADP.2022-12-14T08:59:35.343,ivo://eso.org/origfile?OB_2298438_2019-06-14T08-40.fits
ADP.2022-12-14T08:59:35.344,ivo://eso.org/origfile?OB_2298438_2019-06-14T08-46.fits
ADP.2022-12-14T08:59:35.345,ivo://eso.org/origfile?OB_2298441_2019-06-14T09-04.fits
ADP.2022-12-14T08:59:35.346,ivo://eso.org/origfile?OB_2298483_2019-06-14T09-21.fits
ADP.2022-12-14T08:59:35.347,ivo://eso.org/origfile?OB_2233857_2019-06-16T04-03.fits
ADP.2022-12-14T08:59:35.348,ivo://eso.org/origfile?OB_2233872_2019-06-16T04-32.fits
ADP.2022-12-14T08:59:35.349,ivo://eso.org/origfile?OB_2233887_2019-06-16T05-01.fits
ADP.2022-12-14T08:59:35.350,ivo://eso.org/origfile?OB_2233931_2019-06-16T05-25.fits
ADP.2022-12-14T08:59:35.351,ivo://eso.org/origfile?OB_2233946_2019-06-16T07-53.fits
ADP.2022-12-14T08:59:35.352,ivo://eso.org/origfile?OB_2233949_2019-06-16T08-10.fits
ADP.2022-12-14T08:59:35.353,ivo://eso.org/origfile?OB_2233949_2019-06-16T08-16.fits
ADP.2022-12-14T08:59:35.354,ivo://eso.org/origfile?OB_2302268_2019-06-18T08-06.fits
ADP.2022-12-14T08:59:35.355,ivo://eso.org/origfile?OB_2302268_2019-06-18T08-47.fits
ADP.2022-12-14T08:59:35.356,ivo://eso.org/origfile?OB_2233890_2019-06-19T07-33.fits
ADP.2022-12-14T08:59:35.357,ivo://eso.org/origfile?OB_2302268_2019-06-19T08-34.fits
ADP.2022-12-14T08:59:35.358,ivo://eso.org/origfile?OB_2233934_2019-06-21T09-13.fits
ADP.2022-12-14T08:59:35.359,ivo://eso.org/origfile?OB_2233940_2019-06-21T09-30.fits
ADP.2022-12-14T08:59:35.360,ivo://eso.org/origfile?OB_2233884_2019-06-24T02-06.fits
ADP.2022-12-14T08:59:35.361,ivo://eso.org/origfile?OB_2233896_2019-06-24T01-45.fits
ADP.2022-12-14T08:59:35.362,ivo://eso.org/origfile?OB_2233908_2019-06-24T02-30.fits
ADP.2022-12-14T08:59:35.363,ivo://eso.org/origfile?OB_2233913_2019-06-24T03-31.fits
ADP.2022-12-14T08:59:35.364,ivo://eso.org/origfile?OB_2233937_2019-06-24T05-02.fits
ADP.2022-12-14T08:59:35.365,ivo://eso.org/origfile?OB_1928100_2019-06-26T23-16.fits
ADP.2022-12-14T08:59:35.366,ivo://eso.org/origfile?OB_2233905_2019-06-27T06-49.fits
