file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim,diff_ra,diff_dec,diff_ra_newsim,diff_dec_newsim,diff_ra_newold,diff_dec_newold
OB_1955343_2018-08-14T05-37.fits,283.80117375,283.8010881118,283.8010881118,-3.561956666666667,-3.561986903190001,-3.5619869031900007,A185512,HD 175375,HD 175375,0.0,-1.5987211554602254e-12,0.0,-1.5987211554602254e-12,-0.3082975198140048,-0.10885148400241462
OB_1962029_2018-07-05T08-29.fits,285.2860324999999,285.2858212,285.2858212,-36.9558,-36.9555264,-36.955526400000004,SCrA,V* S CrA,V* S CrA,0.0,2.5579538487363607e-11,0.0,2.5579538487363607e-11,-0.7606799997574853,0.9849600000251257
OB_1969989_2018-07-13T05-44.fits,301.0259195833333,301.0258333333333,301.0258333333333,17.07018777777778,17.07027777777778,17.07027777777778,HR7682,*  15 Sge B,*  15 Sge B,0.0,0.0,0.0,0.0,-0.31049999993228994,0.32400000000052387
OB_200393103_2016-07-12T04-43.fits,249.6299958333333,249.6294875,249.62948856666665,-57.46963888888889,-57.46984166666667,-57.46984198611111,WD 1634-573,HD 149499A,HD 149499A,-0.003839999908450409,0.001150000005623042,-0.003839999908450409,0.001150000005623042,-1.829999999881693,-0.7300000000071805
OB_200393950_2016-08-02T23-06.fits,223.545545,223.5449491950562,223.54494919505623,-66.42008777777778,-66.42002801775529,-66.42002801775529,HD130940,HD 130940B,HD 130940B,-1.0231815394945443e-10,0.0,-1.0231815394945443e-10,0.0,-2.1448977976774586,0.21513608098189252
OB_200393950_2016-08-02T23-07.fits,223.545545,223.5449491950562,223.54494919505623,-66.42008777777778,-66.42002801775529,-66.42002801775529,HD130940,HD 130940B,HD 130940B,-1.0231815394945443e-10,0.0,-1.0231815394945443e-10,0.0,-2.1448977976774586,0.21513608098189252
OB_200416138_2017-02-06T01-22.fits,70.89653208333333,70.89477613298942,70.89477613298942,-8.796226944444445,-8.794309208700474,-8.794309208700474,HIP21986,*  55 Eri,*  55 Eri,0.0,0.0,0.0,0.0,-6.321421238061475,6.903848678296498
OB_2058089_2018-11-01T05-23.fits,50.30676916666666,50.30656119166667,50.306561191666674,21.14706611111111,21.14689758055556,21.146897580555553,tau01 Ari,* tau01 Ari B,* tau01 Ari B,-2.5579538487363607e-11,2.5579538487363607e-11,-2.5579538487363607e-11,2.5579538487363607e-11,-0.7487099999821112,-0.6067099999739867
OB_2063406_2019-04-01T05-51.fits,167.4952204166667,167.49444684677,167.49444684677,-77.61906388888889,-77.61917507148,-77.61917507148,V WX Cha,V* WX Cha B,V* WX Cha B,0.0,0.0,0.0,0.0,-2.784851628200613,-0.40025732800472724
OB_2073164_2019-02-25T05-19.fits,167.0645725,167.0634018,167.0634018,-77.56484611111111,-77.5647695,-77.5647695,V HP Cha,V* HP Cha,V* HP Cha,0.0,0.0,0.0,0.0,-4.214519999959521,0.275800000002846
OB_2078107_2019-02-15T04-48.fits,159.3428358333333,159.3426875,159.34268749999998,-58.62301444444444,-58.62301666666666,-58.623016666666665,HD  92206,HD  92206,HD  92206,1.0231815394945443e-10,2.5579538487363607e-11,1.0231815394945443e-10,2.5579538487363607e-11,-0.5339999998795975,-0.007999999971275429
OB_2078107_2019-02-15T04-57.fits,159.3428358333333,159.3426875,159.34268749999998,-58.62301444444444,-58.62301666666666,-58.623016666666665,HD  92206,HD  92206,HD  92206,1.0231815394945443e-10,2.5579538487363607e-11,1.0231815394945443e-10,2.5579538487363607e-11,-0.5339999998795975,-0.007999999971275429
OB_2133986_2019-01-25T04-12.fits,167.0645725,167.0615343704379,167.06152187841,-77.56484611111111,-77.56464801858279,-77.56466459887667,V HP Cha,V* HP Cha B,V* HP Cha B,0.04497130046274833,0.05968905799704771,0.04497130046274833,0.05968905799704771,-10.937266423559322,0.713133101959329
OB_2133986_2019-03-27T03-56.fits,167.0645725,167.0634018,167.0634018,-77.56484611111111,-77.5647695,-77.5647695,V HP Cha,V* HP Cha,V* HP Cha,0.0,0.0,0.0,0.0,-4.214519999959521,0.275800000002846
OB_2139600_2019-03-20T03-03.fits,167.0645725,167.0634018,167.0634018,-77.56484611111111,-77.5647695,-77.5647695,V HP Cha,V* HP Cha,V* HP Cha,0.0,0.0,0.0,0.0,-4.214519999959521,0.275800000002846
OB_2139600_2019-03-21T03-31.fits,167.0645725,167.0634018,167.0634018,-77.56484611111111,-77.5647695,-77.5647695,V HP Cha,V* HP Cha,V* HP Cha,0.0,0.0,0.0,0.0,-4.214519999959521,0.275800000002846
