FILE                              	RA               	DEC               	OBJECT                     	OBSTECH                     	
OB_200357868_2015-06-08T02-58.fits	218.70584352985  	-39.55533369119   	V* V854 Cen                	IMAGE,CLASSICAL             	
OB_200357868_2015-06-08T03-06.fits	218.70584352985  	-39.55533369119   	V* V854 Cen                	IMAGE,CLASSICAL             	
OB_200357885_2015-06-08T03-29.fits	221.24667349662  	-35.19182869601   	* c02 Cen                  	IMAGE,CLASSICAL             	
OB_200357885_2015-06-08T03-40.fits	221.24667349662  	-35.19182869601   	* c02 Cen                  	IMAGE,CLASSICAL             	
OB_200357895_2015-06-08T04-10.fits	217.4289422216058	-62.67949018907555	NAME Proxima Centauri      	IMAGE,DUAL,CORONOGRAPHY     	
OB_200357924_2015-06-08T06-17.fits	313.79400241886  	-25.21133507702   	CD-25 15118                	IMAGE,DUAL                  	
OB_200357928_2015-06-08T06-24.fits	313.79400241886  	-25.21133507702   	CD-25 15118                	IMAGE,DUAL                  	
OB_200357928_2015-06-08T06-26.fits	313.79400241886  	-25.21133507702   	CD-25 15118                	IMAGE,DUAL                  	
OB_200357928_2015-06-08T06-27.fits	313.79400241886  	-25.21133507702   	CD-25 15118                	IMAGE,DUAL                  	
OB_200357928_2015-06-08T06-30.fits	313.79400241886  	-25.21133507702   	CD-25 15118                	IMAGE,DUAL                  	
OB_200357986_2015-06-08T10-29.fits	313.79400241886  	-25.21133507702   	CD-25 15118                	IMAGE,DUAL                  	
OB_200358194_2015-06-10T03-13.fits	241.0902283116   	-21.50793057314   	ATO J241.0901-21.5080      	IMAGE,DUAL,CORONOGRAPHY     	
OB_200358695_2015-06-25T22-58.fits	252.54087838625  	-34.29323159305555	* eps Sco                  	IMAGE,CLASSICAL             	
OB_200358695_2015-06-25T23-05.fits	252.54087838625  	-34.29323159305555	* eps Sco                  	IMAGE,CLASSICAL             	
OB_200358701_2015-06-25T23-32.fits	247.3519154198264	-26.43200261195083	* alf Sco                  	IMAGE,CLASSICAL             	
OB_200358701_2015-06-25T23-42.fits	247.3519154198264	-26.43200261195083	* alf Sco                  	IMAGE,CLASSICAL             	
OB_200358869_2015-07-02T02-37.fits	256.1286278133799	-43.30976834868001	HD 153950                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_200358873_2015-07-02T03-36.fits	309.46545771599  	-60.63448499164   	HD 196050                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359885_2015-07-30T07-43.fits	346.86964883731  	21.13425299097    	HD 218396                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359891_2015-07-31T07-49.fits	346.86964883731  	21.13425299097    	HD 218396                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359907_2015-08-01T00-07.fits	275.1244249999999	-16.17914722222222	NGC  6618   341            	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359910_2015-08-01T00-52.fits	275.09458130313  	-16.1428249527    	NGC  6618   258            	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359913_2015-08-01T01-28.fits	275.10776645895  	-16.142335166     	NGC  6618   326            	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359916_2015-08-01T02-01.fits	275.11425275205  	-16.22526919537   	2MASS J18202742-1613309    	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359922_2015-08-01T03-25.fits	275.14371076366  	-16.16995496693   	NGC  6618   337            	IMAGE,DUAL,CORONOGRAPHY     	
OB_200359925_2015-08-01T04-13.fits	275.14744004571  	-16.18014164562   	BD-16  4818                	IMAGE,DUAL,CORONOGRAPHY     	
OB_200362991_2015-09-22T07-08.fits	84.67466666666665	-69.10111111111111	Cl* NGC 2070     MH     302	IMAGE,CLASSICAL             	
OB_200362991_2015-09-22T07-36.fits	84.67466666666665	-69.10111111111111	Cl* NGC 2070     MH     302	IMAGE,CLASSICAL             	
